api-1  | INFO:     127.0.0.1:49146 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:47584 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53618 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:45426 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44502 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60590 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53818 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:39434 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54460 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:36754 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:51812 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:33216 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40584 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:45922 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:36352 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:38408 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:57524 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60408 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:48208 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:43168 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:36104 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:48804 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60820 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53888 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:58724 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:59798 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40074 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53312 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:55196 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53634 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:49114 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:43756 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:48232 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:34342 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:55560 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:42342 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44116 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:58488 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:46376 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:39020 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53866 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:49956 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:39114 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40854 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40216 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53846 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44488 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:56104 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:55780 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:57554 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54304 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44758 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37146 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:58764 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40666 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60922 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54842 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52434 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52016 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53478 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44088 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52508 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:46108 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:46692 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:56590 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:55042 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53400 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40532 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:35810 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:47076 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52536 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:39062 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:50670 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:46360 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54566 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:35420 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:39436 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:51396 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:39206 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:50186 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60242 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:55342 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:35626 - "GET /config HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:55096 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:54400 - "POST /ask HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54712 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:35140 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:35072 - "POST /ask HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:45392 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:39142 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:49744 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:50992 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:55608 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:46182 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:34384 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60132 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:35544 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52574 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:55298 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54082 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:45352 - "POST /ask HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:55098 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:55394 - "POST /ask/stream HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:49912 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:46296 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:41170 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:35982 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:45606 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:35230 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52700 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40276 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53040 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:36734 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60192 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:56386 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:35390 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60678 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:38878 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:50190 - "POST /ask HTTP/1.1" 422 Unprocessable Entity
api-1  | INFO:     127.0.0.1:45506 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:55786 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:40914 - "POST /ask HTTP/1.1" 422 Unprocessable Entity
