api-1  | INFO:     Started server process [1]
api-1  | INFO:     Waiting for application startup.
api-1  | INFO:     Application startup complete.
api-1  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
api-1  | INFO:     127.0.0.1:54118 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52940 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:39152 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:41530 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:38800 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:46176 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:36300 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:33488 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:56756 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44064 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:34438 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:45958 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:59824 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:35602 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:46178 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:33078 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:57476 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:48414 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52902 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:48534 - "GET /docs. HTTP/1.1" 404 Not Found
api-1  | INFO:     172.19.0.1:48534 - "GET /favicon.ico HTTP/1.1" 404 Not Found
api-1  | INFO:     172.19.0.1:48534 - "GET /docs HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:48534 - "GET /openapi.json HTTP/1.1" 200 OK
